,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
2611,BỘ NỒI XỬNG INOX 5 ĐÁY SUNHOUSE SHG507-24 - Hàng chính hãng,780000,780000,0,1.0,1,7,Bep Gia Hung,Nồi
2612,NỒI INOX 3 LỚP CAO CẤP ĐÁY LIỀN TRI-MAX XS 28cm,1290000,1290000,0,5.0,2,6,Alô Bếp,Nồi
2613,NỒI INOX 3 LỚP CAO CẤP ĐÁY LIỀN TRI-MAX XS 18cm,770000,770000,0,5.0,4,8,Alô Bếp,Nồi
2614,Bộ nồi Fivestar FS-B3021 Standard 3 đáy bếp từ 3 món nắp inox (1 quánh 16 x 1 nồi 18cm x 1 nồi 20cm ),699000,699000,0,4.5,2,14,SHOP BẾP XINH,Nồi
2616,NỒI INOX 3 LỚP CAO CẤP ĐÁY LIỀN TRI-MAX XS 26cm,1090000,1090000,0,5.0,1,3,Alô Bếp,Nồi
2621,Bộ Nồi Inox 5 Đáy SUNHOUSE MAMA Đáy Từ SH784 - Hàng chính hãng,980000,980000,0,5.0,1,3,GIA DỤNG VIỆT,Nồi
2622,"Bộ nồi xửng hấp inox FiveStar Standard 304 nắp inox , 3 đáy bếp từ tặng 2 vá canh ( 20cm )",1140000,1140000,0,4.5,7,35,FIVESTAR OFFICIAL STORE,Nồi
2629,Bộ nồi inox 5 đáy Sunhouse Mama SH784 (Tặng kèm móc khóa BG),980000,980000,0,4.0,1,1,GIA DỤNG VIỆT,Nồi
2631,"Bộ nồi inox liền khối Elmich Trimax ECO EL-8006 size 16, 20cm",1050000,1050000,0,5.0,2,3,Alô Bếp,Nồi
2633,Bộ Nồi Inox 5 Đáy Sunhouse Mama SHG2503MSD (16 - 20 - 24 cm),814880,1310000,38,5.0,8,38,Tiki Trading,Nồi
2634,"Bộ nồi inox liền khối Elmich Trimax ECO EL-8006 size 16, 20cm",1050000,1050000,0,5.0,1,1,Alô Bếp,Nồi
2635,"Bộ nồi Inox liền khối Elmich Milano EL-8090 size 16, 20, 22cm",1587000,3950000,60,5.0,2,6,Tiki Trading,Nồi
2637,"Bộ nồi 5 đáy Inox 304 Elmich Berlin EL 3981 Size 18, 20cm",680000,1890000,64,5.0,4,29,Tiki Trading,Nồi
2639,"Bộ nồi 5 đáy Inox 304 Elmich Celestin EL 3979 Size 18, 20cm",855950,1245000,31,4.8,4,17,Tiki Trading,Nồi
2640,Bộ nồi inox 304 đa lớp 18 – 22 – 26 cm Sunhouse Mama SHG2020,2327500,2327500,0,5.0,1,5,Bep Gia Hung,Nồi
2643,Bộ nồi chảo inox 5 đáy 5 món vung kính Sunhouse SHG996E,1450000,1450000,0,5.0,1,3,Bep Gia Hung,Nồi
2644,"Bộ nồi Inox liền khối Elmich Hera EL-8195 size 18, 22 chảo 26cm",1469000,3350000,56,3.0,1,9,Tiki Trading,Nồi
2650,Bộ 3 Nồi Inox 3 Đáy Nắp Kính Fivestar FS06CG - Hàng Chính Hãng,795000,795000,0,5.0,3,11,FIVESTAR OFFICIAL STORE,Nồi
2652,Nồi áp suất inox 304 Elmich 20cm EL3369 (4L) - Hàng Chính Hãng,850000,1550000,45,4.6,239,814,Tiki Trading,Nồi
2654,"Bộ 2 nồi 5 đáy Inox 304 Elmich Red Velvet El - 3989 - Size 18,20",680000,1559000,56,4.5,2,16,Tiki Trading,Nồi
2656,Bộ Nồi Xửng Hấp Fivestar Inox 3 Đáy ST24-3D - Hàng Chính Hãng,780000,780000,0,5.0,3,322,FIVESTAR OFFICIAL STORE,Nồi
2657,"Bộ nồi 5 đáy Inox 304 Elmich Berlin EL 3980 Size 16, 18, 22cm",1060000,1685000,37,5.0,2,23,Tiki Trading,Nồi
2658,Bộ nồi inox 304 cao cấp 3 đáy  Fivestar (vancover) - dùng được bếp từ ,1499000,1499000,0,5.0,1,1,SHOP BẾP XINH,Nồi
