name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
"Bộ nồi inox 3 đáy Sunhouse SH335, Chất liệu inox cao cấp, Vung inox bền đẹp",489000,489000,0,0.0,0,392,N/A,N/A,Do Gia Dung Ha Linh,,N/A,https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh335-chat-lieu-inox-cao-cap-vung-inox-ben-dep-p272619210.html?spid=242656605
Bộ nồi chảo inox 5 đáy SUNHOUSE SHG995,1250000,1250000,0,5.0,1,2,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-chao-inox-5-day-sunhouse-shg995-p217325032.html?spid=270477071
Bộ nồi inox bếp từ Fivestar 3 lớp đáy liền inox 304 nắp inox - tặng 1 vá canh,1799000,1799000,0,4.0,1,2,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/bo-noi-fivestar-3-lop-day-lien-inox-304-nap-inox-p99212840.html?spid=99212841
Bộ nồi chảo inox 5 đáy Sunhouse SHG995,1220000,1940000,37,4.8,12,59,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/bo-noi-chao-inox-5-day-sunhouse-shg995-p96475040.html?spid=108279951
Nồi inox 304 5 đáy SUNHOUSE SHG2526MSA,520000,670000,22,5.0,2,3,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/noi-inox-304-5-day-sunhouse-shg2526msa-p192926677.html?spid=192926678
Bộ 3 nồi inox 5 đáy SUNHOUSE SH891,989000,989000,0,0.0,0,3,N/A,N/A,MộcShop,,N/A,https://tiki.vn/bo-3-no-i-inox-5-day-sunhouse-sh891-p82227641.html?spid=184282935
Bộ Nồi Xửng Hấp Inox 304 Fivestar,1170000,1170000,0,5.0,4,6,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-xung-hap-inox-304-fivestar-20cm-p14639199.html?spid=72217002
"Bộ nồi inox 430 cao cấp Fivestar Standard 3 đáy FB4-430, dùng được bếp từ, gồm 4 nồi nắp kính hoặc inox",1012500,1125000,10,0.0,0,0,N/A,N/A,Gia Dụng An Nhiên,,N/A,https://tiki.vn/bo-noi-inox-430-cao-cap-fivestar-standard-3-day-fb4-430-dung-duoc-bep-tu-gom-4-noi-nap-kinh-hoac-inox-p274563736.html?spid=274563739
Bộ nồi 3 chiếc Inox 3 đáy Sunhouse SH334,480000,480000,0,5.0,1,10,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-3-chiec-inox-3-day-sunhouse-sh334-p198732278.html?spid=263961075
Bộ 5 nồi xửng chảo inox 430 nắp inox Fivestar FS08CG1,1650000,1650000,0,0.0,0,0,N/A,N/A,A2ZMART,,N/A,https://tiki.vn/bo-5-noi-xung-chao-inox-430-nap-inox-fivestar-fs08cg1-p193080828.html?spid=193080830
