name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
"Nồi cơm điện tử Cuckoo CR-0631F/WHSIVNCV 1.08L màu trắng bạc, Hàng chính hãng, xuất xứ Hà Quốc",2190000,2190000,0,5.0,2,2,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-cr-0631f-whsivncv-1-08l-mau-trang-bac-hang-chinh-hang-xuat-xu-ha-quoc-p165660891.html?spid=196849047
"Nồi cơm điện tử Toshiba RC-10DH2PV(W) - 1.0L - Lòng nồi dày 2.2mm, chống dính - Hàng chính hãng, bảo hành 12 tháng",1179000,1720000,31,5.0,2,2,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-10dh2pv-w-1-0l-long-noi-day-2-2mm-chong-dinh-hang-chinh-hang-bao-hanh-12-thang-p272617065.html?spid=272617066
Nồi cơm điện tử cao tần Tefal RK808168 1.5L - 16 menu - BH 2 năm - Hàng Chính Hãng,1800000,2999000,40,0.0,0,0,N/A,N/A,JA STORE,,N/A,https://tiki.vn/noi-com-dien-tu-cao-tan-tefal-rk808168-1-5l-16-menu-bh-2-nam-hang-chinh-hang-p201518120.html?spid=201518125
Nồi cơm điện tử Toshiba RC-18DH2PV(W) - Dung tích 1.8 lít - Lòng nồi dày 2.2 mm - Giữ ấm 12 tiếng - Hàng chính hãng,1749000,1749000,0,0.0,0,1,N/A,N/A,Phan Lê,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-18dh2pv-w-dung-tich-1-8-lit-long-noi-day-2-2-mm-giu-am-12-tieng-hang-chinh-hang-p191422599.html?spid=196092517
"Nồi cơm điện tử Toshiba RC-18DR2PV(K) - 1.8L - Lòng nồi dày 4mm, chống dính - Hàng chính hãng, bảo hành 12 tháng",1689000,2590000,35,0.0,0,0,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-18dr2pv-k-1-8l-long-noi-day-4mm-chong-dinh-hang-chinh-hang-bao-hanh-12-thang-p276105022.html?spid=276105023
"Nồi cơm điện Electrolux 1.8L E4RC1-320P, Thiết kế đa năng, dung tích lớn [ Hàng chính hãng]",629800,890000,29,5.0,3,27,N/A,N/A,Electrolux Official Store,,N/A,https://tiki.vn/noi-com-dien-electrolux-1-8l-e4rc1-320p-thiet-ke-da-nang-dung-tich-lon-hang-chinh-hang-p209899029.html?spid=209899030
"Nồi cơm điện cao tần (IH) giảm đường PANASONIC SR-HL151KRA 1,5 L - Hàng Chính Hãng",5420000,5420000,0,0.0,0,1,N/A,N/A,Phan Lê,,N/A,https://tiki.vn/noi-com-dien-cao-tan-ih-giam-duong-sr-hl151kra-1-5-l-hang-chinh-hang-p215615069.html?spid=215615070
"Nồi cơm điện tử Toshiba RC-18DH2PV(W) - 1.8L - Lòng nồi dày 2.2mm, chống dính - Hàng chính hãng, bảo hành 12 tháng",1449000,1920000,25,0.0,0,0,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-18dh2pv-w-1-8l-long-noi-day-2-2mm-chong-dinh-hang-chinh-hang-bao-hanh-12-thang-p272617063.html?spid=272617064
Nồi cơm điện tử Toshiba 1.8 lít RC-18DR2PV(K)  - Nhiều chức năng tiện lợi- Hàng chính hãng,1888000,1988000,5,0.0,0,0,N/A,N/A,ĐIỆN MÁY TẤN TÀI,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-1-8-lit-rc-18dr2pv-k-hang-chinh-hang-nhieu-chuc-nang-tien-loi-p127003055.html?spid=252678327
"Nồi cơm điện Orkin Nhập Khẩu Chính Hãng OR24 dung tích 2.2L - Bảo vệ 2 lớp, Phủ Cramic",1275000,1290000,1,0.0,0,2,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/noi-com-dien-thai-lan-orkin-or24-dung-tich-2-2l-bao-ve-2-lop-phu-cramic-p176282756.html?spid=204425660
